Code,Authority,Eligible Electors,Verified Ballots,Turnout,Conservative Party-votes,The Labour Party-votes,Liberal Democrats-votes,The Green Party-votes,United Kingdom Independence Party-votes,British National Party-votes,Christian Party Proclaiming Christ's Lordship-votes,Jan Jananayagam-votes,English Democrats Party-votes,No2EU: Yes To Democracy-votes,Socialist Labour Party-votes,Pro Democracy: Libertas.eu-votes,Jury Team-votes,Steven Cheung-votes,The Socialist Party of Great Britain-votes,Yes 2 Europe-votes,Sohale Rahman-votes,Gene Alcantara-votes,Haroon Saad-votes,Total Party Votes,Total Rejected Votes ,Conservative Party-percent good votes,The Labour Party-percent good votes,Liberal Democrats-percent good votes,The Green Party-percent good votes,United Kingdom Independence Party-percent good votes,British National Party-percent good votes,Christian Party Proclaiming Christ's Lordship-percent good votes,Jan Jananayagam-percent good votes,English Democrats Party-percent good votes,No2EU: Yes To Democracy-percent good votes,Socialist Labour Party-percent good votes,Pro Democracy: Libertas.eu-percent good votes,Jury Team-percent good votes,Steven Cheung-percent good votes,The Socialist Party of Great Britain-percent good votes,Yes 2 Europe-percent good votes,Sohale Rahman-percent good votes,Gene Alcantara-percent good votes,Haroon Saad-percent good votes
00AA,City of London,6061,2110,34.8,678,336,399,305,185,47,30,4,23,11,22,9,26,4,3,12,0,1,0,2095,15,32.4,16,19,14.6,8.8,2.2,1.4,0.2,1.1,0.5,1.1,0.4,1.2,0.2,0.1,0.6,0,0,0
00AB,Barking & Dagenham,116203,35914,30.9,4961,11236,1645,1354,5285,6941,1759,386,706,451,386,120,100,88,99,53,66,29,36,35701,211,13.9,31.5,4.6,3.8,14.8,19.4,4.9,1.1,2,1.3,1.1,0.3,0.3,0.2,0.3,0.1,0.2,0.1,0.1
00AC,Barnet,214711,82228,38.3,31869,15534,9071,8100,7682,2295,1801,1234,937,734,598,383,392,335,151,138,222,86,56,81618,435,39,19,11.1,9.9,9.4,2.8,2.2,1.5,1.1,0.9,0.7,0.5,0.5,0.4,0.2,0.2,0.3,0.1,0.1
00AD,Bexley,170287,61595,36.2,18838,8495,4523,3393,12688,7581,1653,378,1826,671,446,328,196,102,111,65,9,25,10,61338,265,30.7,13.8,7.4,5.5,20.7,12.4,2.7,0.6,3,1.1,0.7,0.5,0.3,0.2,0.2,0.1,0,0,0
00AE,Brent,183794,59043,32.1,11994,15583,11370,5007,3240,1250,1974,4867,435,680,540,249,340,137,113,131,350,106,95,58461,621,20.5,26.7,19.4,8.6,5.5,2.1,3.4,8.3,0.7,1.2,0.9,0.4,0.6,0.2,0.2,0.2,0.6,0.2,0.2
00AF,Bromley,230983,87420,37.8,32800,7044,10718,8290,16387,4736,2103,619,1701,609,522,527,300,138,149,124,26,33,13,86839,359,37.8,8.1,12.3,9.5,18.9,5.5,2.4,0.7,2,0.7,0.6,0.6,0.3,0.2,0.2,0.1,0,0,0
00AG,Camden,137738,47148,34.2,10400,11167,10180,8040,2720,1300,747,121,384,412,433,250,188,123,135,104,61,69,36,46870,292,22.2,23.8,21.7,17.2,5.8,2.8,1.6,0.3,0.8,0.9,0.9,0.5,0.4,0.3,0.3,0.2,0.1,0.1,0.1
00AH,Croydon,242405,81375,33.6,25608,14813,7957,7092,10921,3878,3501,3128,1291,724,547,380,293,173,138,157,93,51,65,80810,483,31.7,18.3,9.8,8.8,13.5,4.8,4.3,3.9,1.6,0.9,0.7,0.5,0.4,0.2,0.2,0.2,0.1,0.1,0.1
00AJ,Ealing,216080,73013,33.8,18503,18610,8730,7426,5802,2200,2401,4716,796,684,778,388,386,209,163,175,284,59,114,72424,580,25.5,25.7,12.1,10.3,8,3,3.3,6.5,1.1,0.9,1.1,0.5,0.5,0.3,0.2,0.2,0.4,0.1,0.2
00AK,Enfield,195339,65452,33.5,20345,15385,5398,5876,7916,3145,2281,1194,1014,795,605,290,228,160,160,97,103,56,37,65085,354,31.3,23.6,8.3,9,12.2,4.8,3.5,1.8,1.6,1.2,0.9,0.4,0.4,0.2,0.2,0.1,0.2,0.1,0.1
00AL,Greenwich,156965,50913,32.4,10360,13414,4998,5573,6507,4269,1749,773,1031,603,485,208,172,206,114,85,15,29,40,50631,281,20.5,26.5,9.9,11,12.9,8.4,3.5,1.5,2,1.2,1,0.4,0.3,0.4,0.2,0.2,0,0.1,0.1
00AM,Hackney,139291,44082,31.6,6559,14927,5130,9958,1973,968,1575,101,377,555,742,137,200,133,120,70,86,31,73,43715,367,15,34.1,11.7,22.8,4.5,2.2,3.6,0.2,0.9,1.3,1.7,0.3,0.5,0.3,0.3,0.2,0.2,0.1,0.2
00AN,Hammersmith & Fulham,113409,40751,35.9,15305,8014,5085,4855,2892,1179,902,140,397,337,361,265,217,85,93,136,43,94,35,40435,315,37.9,19.8,12.6,12,7.2,2.9,2.2,0.3,1,0.8,0.9,0.7,0.5,0.2,0.2,0.3,0.1,0.2,0.1
00AP,Haringey,152602,49372,32.4,7396,14093,11550,8528,2164,981,1408,297,339,618,683,96,202,131,219,111,51,69,23,48959,390,15.1,28.8,23.6,17.4,4.4,2,2.9,0.6,0.7,1.3,1.4,0.2,0.4,0.3,0.4,0.2,0.1,0.1,0
00AQ,Harrow,163432,62897,38.5,20793,12135,6054,4181,5837,1835,1558,6856,793,526,371,312,320,151,137,110,269,46,66,62350,516,33.3,19.5,9.7,6.7,9.4,2.9,2.5,11,1.3,0.8,0.6,0.5,0.5,0.2,0.2,0.2,0.4,0.1,0.1
00AR,Havering,176982,61744,34.9,17303,6596,3940,3479,15737,8627,1773,203,1660,783,436,287,211,96,133,63,18,47,12,61404,269,28.2,10.7,6.4,5.7,25.6,14,2.9,0.3,2.7,1.3,0.7,0.5,0.3,0.2,0.2,0.1,0,0.1,0
